begin_time;end_time;Diferencia_tiempo;Low_freq;high _freq;Max_time;Energy;Max_entropy;Max_Freq;Max_Power;Min_Entropy;Peak_freq;Longiti;Pais
7.074;7.781;707.00;453.1;3624.7;7.239;111.2;4.444;1550.4;101.9;1.326;1550.4;122.00;ecuador
1.650;2.294;644.00;336.6;3871.4;2.067;110.0;4.371;1550.4;100.4;1.326;1550.4;111.00;ecuador
16.319;17.708;1.389;543.00;3226.8;16.393;113.5;4.347;1550.4;99.9;1.327;1550.4;239.00;ecuador
32.871;35.756;2.885;743.3;3705.9;33.338;120.8;4.811;1722.7;105.0;1.331;1722.7;497.00;venezuela
6.223;7.131;908.00;179.3;4033.5;6.235;111.0;4.303;1550.4;101.3;1.333;1550.4;156.00;ecuador
7.959;8.867;908.00;635.2;3538.9;7.970;112.9;4.129;1636.5;102.3;1.338;1636.5;156.00;ecuador
4.094;4.801;707.00;673.3;4123.9;4.412;113.7;4.134;1378.1;101.9;1.343;1378.1;122.00;ecuador
3.926;4.674;748.00;268.9;4033.5;4.360;108.4;4.267;1550.4;97.5;1.344;1550.4;129.00;ecuador
22.786;24.557;1.771;746.6;3086.0;24.352;113.2;4.442;1464.3;100.9;1.352;1464.3;305.00;ecuador
6.424;8.760;2.336;844.8;3717.2;7.018;110.9;4.502;1722.7;97.5;1.354;1722.7;402.00;costa_rica
5.552;6.152;600.00;84.2;3450.6;5.700;108.5;4.469;1722.7;98.6;1.357;1722.7;103.00;ecuador
12.964;14.950;1.986;457.5;3568.3;13.050;117.2;4.367;1722.7;100.8;1.359;1722.7;342.00;costa_rica
6.778;7.411;633.00;195.1;3414.8;7.030;105.9;4.581;1636.5;99.6;1.360;1636.5;109.00;ecuador
8.896;9.560;664.00;755.1;3926.7;9.056;116.5;3.678;1378.1;104.5;1.361;1378.1;114.00;ecuador
2.030;2.804;774.00;272.2;3720.4;2.583;109.5;4.028;1550.4;98.5;1.367;1550.4;134.00;ecuador
12.134;12.652;518.00;187.7;3565.5;12.249;102.2;4.734;1636.5;92.2;1.367;1636.5;89.00;venezuela
13.761;14.876;1.115;84.2;3618.9;14.356;110.2;4.330;1464.3;96.6;1.368;1464.3;192.00;ecuador
17.327;18.167;840.00;101.1;3034.4;17.363;110.2;4.243;1550.4;95.8;1.369;1550.4;145.00;costa_rica
5.577;6.324;747.00;182.5;3832.7;5.717;113.6;4.448;1593.8;102.3;1.371;1593.8;140.00;costa_rica
5.577;6.324;747.00;182.5;3832.7;5.717;113.6;4.448;1593.8;102.3;1.371;1593.8;140.00;costa_rica
1.687;2.681;994.00;195.1;5268.6;2.078;111.4;4.859;1636.5;101.8;1.372;1636.5;171.00;ecuador
